# Fatores de retencao (SPEC §10, ADR-0007/0018). Fonte: USDA Table of
# Nutrient Retention Factors Release 6 (2007), CC0 1.0,
# DOI 10.15482/USDA.ADC/1409034. Fonte primaria: retn06.txt (ASCII caret-delimited),
# SHA-256 5B71867F6649E801DB3BF88C6CD1887B0673E853D4BA94AA0AF2B3C091E983F9.
# Gerado por scripts/build_retention_factors.py — nao editar a mao.
# Politica: mediana por (nutriente, metodo); espaco min-max na evidencia;
# referencia integral em usda_r6_reference.csv.
nutrient,cooking_method,retention_factor,evidence
ALC,baked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 100% max 100%
ALC,boiled,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 100% max 100%
ALC,braised,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 100% max 100%
ALC,broiled,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 100% max 100%
ALC,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 100% max 100%
ALC,cooked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 100% max 100%
ALC,fried,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 100% max 100%
ALC,poached,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 100% max 100%
ALC,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 100% max 100%
ALC,roasted,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 100% max 100%
ALC,simmered,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 10% max 100%
ALC,steamed,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 100% max 100%
ALC,stewed,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 100% max 100%
CA,baked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 80% max 100%
CA,boiled,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 85% max 100%
CA,braised,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 80% max 100%
CA,broiled,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 75% max 100%
CA,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 95% max 100%
CA,cooked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 85% max 100%
CA,fried,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 75% max 100%
CA,poached,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 100% max 100%
CA,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 100% max 100%
CA,roasted,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 90% max 100%
CA,simmered,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 80% max 100%
CA,steamed,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 100% max 100%
CA,stewed,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 95% max 95%
CARTA,baked,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 75% max 100%
CARTA,boiled,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 85% max 100%
CARTA,braised,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 75% max 90%
CARTA,broiled,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 65% max 100%
CARTA,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 75% max 100%
CARTA,cooked,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 75% max 100%
CARTA,fried,0.85,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 75% max 100%
CARTA,poached,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 100% max 100%
CARTA,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 95% max 100%
CARTA,roasted,0.75,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 75% max 80%
CARTA,simmered,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 75% max 100%
CARTA,steamed,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 90% max 95%
CARTA,stewed,0.75,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 75% max 75%
CARTB,baked,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 75% max 100%
CARTB,boiled,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 85% max 100%
CARTB,braised,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 75% max 90%
CARTB,broiled,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 65% max 100%
CARTB,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 75% max 100%
CARTB,cooked,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 75% max 100%
CARTB,fried,0.85,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 75% max 100%
CARTB,poached,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 100% max 100%
CARTB,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 95% max 100%
CARTB,roasted,0.75,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 75% max 80%
CARTB,simmered,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 75% max 100%
CARTB,steamed,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 90% max 95%
CARTB,stewed,0.75,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 75% max 75%
CHOLN,baked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 75% max 100%
CHOLN,boiled,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 90% max 100%
CHOLN,braised,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 90% max 100%
CHOLN,broiled,0.975,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 70% max 100%
CHOLN,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 95% max 100%
CHOLN,cooked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 60% max 100%
