retn_code,usda_fdgrp,retn_desc,nutr_no,tagname,cooking_method,retention_factor_pct,source_date
0001,01,"CHEESE,BAKED",301,CA,baked,100,09/1975
0001,01,"CHEESE,BAKED",303,FE,baked,100,09/1975
0001,01,"CHEESE,BAKED",304,MG,baked,100,09/1975
0001,01,"CHEESE,BAKED",305,P,baked,100,09/1975
0001,01,"CHEESE,BAKED",306,K,baked,100,09/1975
0001,01,"CHEESE,BAKED",307,NA,baked,100,09/1975
0001,01,"CHEESE,BAKED",309,ZN,baked,100,09/1975
0001,01,"CHEESE,BAKED",312,CU,baked,100,09/1975
0001,01,"CHEESE,BAKED",401,VITC,baked,65,09/1975
0001,01,"CHEESE,BAKED",404,THIA,baked,75,09/1975
0001,01,"CHEESE,BAKED",405,RIBF,baked,100,09/1975
0001,01,"CHEESE,BAKED",406,NIA,baked,100,09/1975
0001,01,"CHEESE,BAKED",415,VITB6A,baked,75,09/1975
0001,01,"CHEESE,BAKED",417,FOL,baked,80,09/1975
0001,01,"CHEESE,BAKED",431,FOLAC,baked,80,09/1975
0001,01,"CHEESE,BAKED",432,FOLFD,baked,80,09/1975
0001,01,"CHEESE,BAKED",421,CHOLN,baked,75,09/1975
0001,01,"CHEESE,BAKED",418,VITB12,baked,55,09/1975
0001,01,"CHEESE,BAKED",318,,baked,100,09/1975
0001,01,"CHEESE,BAKED",392,VITA_RAE,baked,100,09/1975
0001,01,"CHEESE,BAKED",221,ALC,baked,100,09/1975
0001,01,"CHEESE,BAKED",321,CARTB,baked,100,09/1975
0001,01,"CHEESE,BAKED",322,CARTA,baked,100,09/1975
0001,01,"CHEESE,BAKED",334,CRYPXB,baked,100,09/1975
0001,01,"CHEESE,BAKED",337,LYCPN,baked,100,09/1975
0001,01,"CHEESE,BAKED",338,,baked,100,09/1975
0003,01,"CHEESE,BROILED",301,CA,broiled,100,09/1975
0003,01,"CHEESE,BROILED",303,FE,broiled,100,09/1975
0003,01,"CHEESE,BROILED",304,MG,broiled,100,09/1975
0003,01,"CHEESE,BROILED",305,P,broiled,100,09/1975
0003,01,"CHEESE,BROILED",306,K,broiled,100,09/1975
0003,01,"CHEESE,BROILED",307,NA,broiled,100,09/1975
0003,01,"CHEESE,BROILED",309,ZN,broiled,100,09/1975
0003,01,"CHEESE,BROILED",312,CU,broiled,100,09/1975
0003,01,"CHEESE,BROILED",401,VITC,broiled,65,09/1975
0003,01,"CHEESE,BROILED",404,THIA,broiled,75,09/1975
0003,01,"CHEESE,BROILED",405,RIBF,broiled,100,09/1975
0003,01,"CHEESE,BROILED",406,NIA,broiled,100,09/1975
0003,01,"CHEESE,BROILED",415,VITB6A,broiled,75,09/1975
0003,01,"CHEESE,BROILED",417,FOL,broiled,80,09/1975
0003,01,"CHEESE,BROILED",431,FOLAC,broiled,80,09/1975
0003,01,"CHEESE,BROILED",432,FOLFD,broiled,80,09/1975
0003,01,"CHEESE,BROILED",421,CHOLN,broiled,75,09/1975
0003,01,"CHEESE,BROILED",418,VITB12,broiled,55,09/1975
0003,01,"CHEESE,BROILED",318,,broiled,100,09/1975
0003,01,"CHEESE,BROILED",392,VITA_RAE,broiled,100,09/1975
0003,01,"CHEESE,BROILED",221,ALC,broiled,100,09/1975
0003,01,"CHEESE,BROILED",321,CARTB,broiled,100,09/1975
0003,01,"CHEESE,BROILED",322,CARTA,broiled,100,09/1975
0003,01,"CHEESE,BROILED",334,CRYPXB,broiled,100,09/1975
0003,01,"CHEESE,BROILED",337,LYCPN,broiled,100,09/1975
0003,01,"CHEESE,BROILED",338,,broiled,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",301,CA,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",303,FE,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",304,MG,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",305,P,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",306,K,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",307,NA,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",309,ZN,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",312,CU,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",401,VITC,cooked,65,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",404,THIA,cooked,75,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",405,RIBF,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",406,NIA,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",415,VITB6A,cooked,75,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",417,FOL,cooked,80,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",431,FOLAC,cooked,80,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",432,FOLFD,cooked,80,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",421,CHOLN,cooked,75,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",418,VITB12,cooked,55,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",318,,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",392,VITA_RAE,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",221,ALC,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",321,CARTB,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",322,CARTA,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",334,CRYPXB,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",337,LYCPN,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",338,,cooked,100,09/1975
0007,01,"CHEESE,REHEATED",301,CA,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",303,FE,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",304,MG,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",305,P,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",306,K,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",307,NA,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",309,ZN,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",312,CU,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",401,VITC,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",404,THIA,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",405,RIBF,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",406,NIA,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",415,VITB6A,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",417,FOL,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",431,FOLAC,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",432,FOLFD,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",421,CHOLN,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",418,VITB12,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",318,,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",392,VITA_RAE,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",221,ALC,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",321,CARTB,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",322,CARTA,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",334,CRYPXB,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",337,LYCPN,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",338,,reheated,100,09/1975
0101,01,"EGGS,BAKED",301,CA,baked,100,09/1975
0101,01,"EGGS,BAKED",303,FE,baked,100,09/1975
0101,01,"EGGS,BAKED",304,MG,baked,100,09/1975
0101,01,"EGGS,BAKED",305,P,baked,100,09/1975
0101,01,"EGGS,BAKED",306,K,baked,100,09/1975
0101,01,"EGGS,BAKED",307,NA,baked,100,09/1975
0101,01,"EGGS,BAKED",309,ZN,baked,100,09/1975
0101,01,"EGGS,BAKED",312,CU,baked,100,09/1975
0101,01,"EGGS,BAKED",401,VITC,baked,80,09/1975
0101,01,"EGGS,BAKED",404,THIA,baked,80,09/1975
0101,01,"EGGS,BAKED",405,RIBF,baked,95,09/1975
0101,01,"EGGS,BAKED",406,NIA,baked,90,09/1975
0101,01,"EGGS,BAKED",415,VITB6A,baked,95,09/1975
0101,01,"EGGS,BAKED",417,FOL,baked,75,09/1975
0101,01,"EGGS,BAKED",431,FOLAC,baked,75,09/1975
0101,01,"EGGS,BAKED",432,FOLFD,baked,75,09/1975
0101,01,"EGGS,BAKED",421,CHOLN,baked,80,09/1975
0101,01,"EGGS,BAKED",418,VITB12,baked,80,09/1975
0101,01,"EGGS,BAKED",318,,baked,100,09/1975
0101,01,"EGGS,BAKED",392,VITA_RAE,baked,100,09/1975
0101,01,"EGGS,BAKED",221,ALC,baked,100,09/1975
0101,01,"EGGS,BAKED",321,CARTB,baked,100,09/1975
