# Terminologia de nutrientes por locale, verificada a mao (P7).
# Referencias: nomes INFOODS/EuroFIR publicados; estatuto curated.
tagname,label,status,evidence
ALA,Alanin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ALC,Alkohol (Ethanol),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ARG,Arginin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
AS,Arsen,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASH,Asche,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASN,Asparagin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASP,Asparaginsäure,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASX,Asparagin + Asparaginsäure,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
BIOT,Biotin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
BTN,Betain,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CA,Calcium,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CAFFN,Koffein,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTA,Alpha-Carotin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTB,Beta-Carotin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTBEQ,Beta-Carotin-Äquivalente,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CD,Cadmium,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOAVL,Verfügbare Kohlenhydrate (per Differenz),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOAVLDF,Verfügbare Kohlenhydrate mit Ballaststoffen (per Differenz),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOCAL,Cholecalciferol (Vitamin D3),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOCDF,Kohlenhydrate gesamt (per Differenz mit Ballaststoffen),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOLE,Cholesterin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOLN,Cholin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CITR,Citrullin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CL,Chlorid,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CR,Chrom,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CRYPXB,Beta-Cryptoxanthin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CU,Kupfer,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CYS,Cystin,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ENERC_KCAL,Energie,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ENERC_KJ,Energie,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ERGCAL,Ergocalciferol (Vitamin D2),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F,Fluorid,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F10D0,Fettsäure 10:0 (Caprinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F12D0,Fettsäure 12:0 (Laurinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F14D0,Fettsäure 14:0 (Myristinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F14D1,Fettsäure 14:1 (Myristoleinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F15D0,Fettsäure 15:0 (Pentadecansäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F16D0,Fettsäure 16:0 (Palmitinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F16D1,Fettsäure 16:1 (Palmitoleinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F17D0,Fettsäure 17:0 (Margarinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D0,Fettsäure 18:0 (Stearinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D1,Fettsäure 18:1 gesamt,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D1CN7,Fettsäure 18:1 c11 (Vaccensäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D1CN9,Fettsäure 18:1 c9 (Ölsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D2CL,Fettsäure 18:2 konjugierte Linolsäure (CLA),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D2CN6,"Fettsäure 18:2 c9,c12 (Linolsäure)",curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D2CNN6,Fettsäure 18:2 n-6 konjugiert,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D3CN3,"Fettsäure 18:3 c9,c12,c15 (alpha-Linolensäure)",curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D3CN6,"Fettsäure 18:3 c6,c9,c12 (gamma-Linolensäure)",curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D3N3,Fettsäure 18:3 n-3 (alpha-Linolensäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D4N3,Fettsäure 18:4 n-3 (Stearidonsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D0,Fettsäure 20:0 (Arachinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D1,Fettsäure 20:1 (Gadoleinsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D2,Fettsäure 20:2 n-6,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D3N3,Fettsäure 20:3 n-3,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D4N6,Fettsäure 20:4 n-6 (Arachidonsäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D5N3,Fettsäure 20:5 n-3 (EPA),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F22D0,Fettsäure 22:0 (Behensäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F22D1,Fettsäure 22:1 (Erucasäure),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F22D5N3,Fettsäure 22:5 n-3 (DPA),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
