# Terminologia de nutrientes por locale, verificada a mao (P7).
# Referencias: nomes INFOODS/EuroFIR publicados; estatuto curated.
tagname,label,status,evidence
ALA,Alanina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ALC,Alcohol (etanol),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ARG,Arginina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
AS,Arsénico,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASH,Cenizas,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASN,Asparagina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASP,Ácido aspártico,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASX,Asparagina + ácido aspártico,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
BIOT,Biotina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
BTN,Betaína,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CA,Calcio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CAFFN,Cafeína,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTA,Alfacaroteno,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTB,Betacaroteno,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTBEQ,Equivalentes de betacaroteno,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CD,Cadmio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOAVL,Hidratos de carbono disponibles (por diferencia),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOAVLDF,Hidratos de carbono disponibles con fibra alimentaria (por diferencia),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOCAL,Colecalciferol (vitamina D3),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOCDF,Hidratos de carbono totales (por diferencia con fibra alimentaria),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOLE,Colesterol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOLN,Colina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CITR,Citrulina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CL,Cloruro,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CR,Cromo,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CRYPXB,Betacriptoxantina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CU,Cobre,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CYS,Cistina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ENERC_KCAL,Energía,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ENERC_KJ,Energía,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ERGCAL,Ergocalciferol (vitamina D2),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F,Fluoruro,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F10D0,Ácido graso 10:0 (cáprico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F12D0,Ácido graso 12:0 (láurico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F14D0,Ácido graso 14:0 (mirístico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F14D1,Ácido graso 14:1 (miristoleico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F15D0,Ácido graso 15:0 (pentadecanoico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F16D0,Ácido graso 16:0 (palmítico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F16D1,Ácido graso 16:1 (palmitoleico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F17D0,Ácido graso 17:0 (margárico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D0,Ácido graso 18:0 (esteárico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D1,Ácido graso 18:1 total,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D1CN7,Ácido graso 18:1 c11 (vaccénico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D1CN9,Ácido graso 18:1 c9 (oleico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D2CL,Ácido graso 18:2 linoleico conjugado (CLA),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D2CN6,"Ácido graso 18:2 c9,c12 (linoleico)",curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D2CNN6,Ácido graso 18:2 n-6 conjugado,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D3CN3,"Ácido graso 18:3 c9,c12,c15 (alfa-linolénico)",curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D3CN6,"Ácido graso 18:3 c6,c9,c12 (gamma-linolénico)",curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D3N3,Ácido graso 18:3 n-3 (alfa-linolénico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D4N3,Ácido graso 18:4 n-3 (estearidónico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D0,Ácido graso 20:0 (araquídico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D1,Ácido graso 20:1 (gadoleico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D2,Ácido graso 20:2 n-6,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D3N3,Ácido graso 20:3 n-3,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D4N6,Ácido graso 20:4 n-6 (araquidónico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
