# Terminologia de nutrientes por locale, verificada a mao (P7).
# Referencias: nomes INFOODS/EuroFIR publicados; estatuto curated.
tagname,label,status,evidence
ALA,Alanine,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ALC,Alcool (éthanol),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ARG,Arginine,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
AS,Arsenic,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASH,Cendres,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASN,Asparagine,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASP,Acide aspartique,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASX,Asparagine + acide aspartique,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
BIOT,Biotine,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
BTN,Bétaïne,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CA,Calcium,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CAFFN,Caféine,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTA,Alpha-carotène,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTB,Bêta-carotène,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTBEQ,Équivalents bêta-carotène,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CD,Cadmium,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOAVL,Glucides disponibles (par différence),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOAVLDF,Glucides disponibles avec fibres alimentaires (par différence),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOCAL,Cholécalciférol (vitamine D3),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOCDF,Glucides totaux (par différence avec fibres alimentaires),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOLE,Cholestérol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOLN,Choline,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CITR,Citrulline,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CL,Chlorure,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CR,Chrome,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CRYPXB,Bêta-cryptoxanthine,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CU,Cuivre,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CYS,Cystine,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ENERC_KCAL,Énergie,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ENERC_KJ,Énergie,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ERGCAL,Ergocalciférol (vitamine D2),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F,Fluorure,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F10D0,Acide gras 10:0 (caprique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F12D0,Acide gras 12:0 (laurique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F14D0,Acide gras 14:0 (myristique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F14D1,Acide gras 14:1 (myristoléique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F15D0,Acide gras 15:0 (pentadécanoïque),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F16D0,Acide gras 16:0 (palmitique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F16D1,Acide gras 16:1 (palmitoléique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F17D0,Acide gras 17:0 (margarique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D0,Acide gras 18:0 (stéarique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D1,Acide gras 18:1 total,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D1CN7,Acide gras 18:1 c11 (vaccénique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D1CN9,Acide gras 18:1 c9 (oléique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D2CL,Acide gras 18:2 linoléique conjugué (CLA),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D2CN6,"Acide gras 18:2 c9,c12 (linoléique)",curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D2CNN6,Acide gras 18:2 n-6 conjugué,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D3CN3,"Acide gras 18:3 c9,c12,c15 (alpha-linolénique)",curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D3CN6,"Acide gras 18:3 c6,c9,c12 (gamma-linolénique)",curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D3N3,Acide gras 18:3 n-3 (alpha-linolénique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D4N3,Acide gras 18:4 n-3 (stéaridonique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D0,Acide gras 20:0 (arachidique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D1,Acide gras 20:1 (gadoléique),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
