# Terminologia de nutrientes por locale, verificada a mao (P7).
# Referencias: nomes INFOODS/EuroFIR publicados; estatuto curated.
tagname,label,status,evidence
ALA,Alanina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ALC,Alcool (etanolo),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ARG,Arginina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
AS,Arsenico,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASH,Ceneri,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASN,Asparagina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASP,Acido aspartico,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASX,Asparagina + acido aspartico,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
BIOT,Biotina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
BTN,Betaina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CA,Calcio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CAFFN,Caffeina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTA,Alfacarotene,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTB,Betacarotene,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTBEQ,Equivalenti di betacarotene,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CD,Cadmio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOAVL,Carboidrati disponibili (per differenza),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOAVLDF,Carboidrati disponibili con fibra alimentare (per differenza),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOCAL,Colecalciferolo (vitamina D3),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
