# Terminologia de nutrientes por locale, verificada a mao (P7).
# Referencias: nomes INFOODS/EuroFIR publicados; estatuto curated.
tagname,label,status,evidence
ALA,Alanina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ALC,Álcool (etanol),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ARG,Arginina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
AS,Arsénio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASH,Cinzas,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASN,Asparagina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASP,Ácido aspártico,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ASX,Asparagina + ácido aspártico,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
BIOT,Biotina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
BTN,Betaína,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CA,Cálcio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CAFFN,Cafeína,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTA,Alfa-caroteno,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTB,Beta-caroteno,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CARTBEQ,Equivalentes de beta-caroteno,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CD,Cádmio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOAVL,Hidratos de carbono disponíveis,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOAVLDF,Hidratos de carbono disponíveis com fibra alimentar (por diferença),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOCAL,Colecalciferol (vitamina D3),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOCDF,Hidratos de carbono totais (por diferença com fibra alimentar),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOLE,Colesterol,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CHOLN,Colina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CITR,Citrulina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CL,Cloreto,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CR,Crómio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CRYPXB,Beta-criptoxantina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CU,Cobre,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
CYS,Cistina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ENERC_KCAL,Energia,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ENERC_KJ,Energia,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ERGCAL,Ergocalciferol (vitamina D2),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F,Fluoreto,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F10D0,Ácido gordo 10:0 (cáprico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F12D0,Ácido gordo 12:0 (láurico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F14D0,Ácido gordo 14:0 (mirístico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F14D1,Ácido gordo 14:1 (miristoleico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F15D0,Ácido gordo 15:0 (pentadecanoico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F16D0,Ácido gordo 16:0 (palmítico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F16D1,Ácido gordo 16:1 (palmitoleico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F17D0,Ácido gordo 17:0 (margárico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D0,Ácido gordo 18:0 (esteárico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D1,Ácido gordo 18:1 total,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D1CN7,Ácido gordo 18:1 c11 (vaccénico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D1CN9,Ácido gordo 18:1 c9 (oleico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D2CL,Ácido gordo 18:2 linoleico conjugado (CLA),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D2CN6,"Ácido gordo 18:2 c9,c12 (linoleico)",curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D2CNN6,Ácido gordo 18:2 n-6 conjugado,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D3CN3,"Ácido gordo 18:3 c9,c12,c15 (alfa-linolénico)",curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D3CN6,"Ácido gordo 18:3 c6,c9,c12 (gama-linolénico)",curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D3N3,Ácido gordo 18:3 n-3 (alfa-linolénico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F18D4N3,Ácido gordo 18:4 n-3 (estearidónico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D0,Ácido gordo 20:0 (araquídico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D1,Ácido gordo 20:1 (gadoleico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D2,Ácido gordo 20:2 n-6,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D3N3,Ácido gordo 20:3 n-3,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D4N6,Ácido gordo 20:4 n-6 (araquidónico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F20D5N3,Ácido gordo 20:5 n-3 (EPA),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F22D0,Ácido gordo 22:0 (beénico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F22D1,Ácido gordo 22:1 (erúcico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F22D5N3,Ácido gordo 22:5 n-3 (DPA),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F22D6N3,Ácido gordo 22:6 n-3 (DHA),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F24D0,Ácido gordo 24:0 (lignocérico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F24D1,Ácido gordo 24:1 c15 (nervónico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F26D0,Ácido gordo 26:0 (cerótico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F4D0,Ácido gordo 4:0 (butírico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F6D0,Ácido gordo 6:0 (caproico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
F8D0,Ácido gordo 8:0 (caprílico),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FAMS,Ácidos gordos monoinsaturados,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FAPU,Ácidos gordos polinsaturados,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FASAT,Ácidos gordos saturados,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FAT,Matéria gorda,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FATCE,Matéria gorda (por diferença),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FATRN,Ácidos gordos trans,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FE,Ferro,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FIBC,Fibra bruta,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FIBINS,Fibra alimentar insolúvel,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FIBS,Fibra alimentar solúvel,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FIBTG,Fibra alimentar,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FOL,Folatos totais,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FOLAC,Ácido fólico (fortificação),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FOLDFE,Folatos (equivalentes de folato dietético),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FOLFD,Folatos alimentares (intrínsecos),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
FRUS,Frutose,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GALS,Galactose,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLN,Glutamina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLU,Ácido glutâmico,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLUS,Glucose (dextrose),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLX,Glutamina + ácido glutâmico,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
GLY,Glicina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
HG,Mercúrio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
HIS,Histidina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
HYP,Hidroxiprolina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ID,Iodeto (iodo),curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
ILE,Isoleucina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
K,Potássio,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LACS,Lactose,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LEU,Leucina,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
LUTN,Luteína,curated,"terminologia INFOODS/EuroFIR, verificada a mao 2026-08-18"
