level,code,food_group
# F1.3 — grupos CIQUAL 2025 -> food_groups canónico (vocab/food_groups.csv).
# Níveis: grp/ssgrp/ssssgrp. Um alimento resolve pelo nível mais fino NÃO-placeholder
# (00/0000/000000) que tenha linha; sem linha no nível fino, cai para o nível acima.
# Decisões de convenção (rever em diff): 'alternativas vegetais' -> other; infantis -> other
# (sem grupo infantil no canónico); cremosos (beurres) -> fats_oils; doces à base de cereais
# (viennoiseries/biscuits/gâteaux) -> cereals; grp 00 = "sem grupo na fonte" -> other.
grp,00,other
grp,01,composite_dishes
grp,03,cereals
grp,04,meat
grp,05,dairy
grp,06,beverages
grp,07,sugars_sweets
grp,08,sugars_sweets
grp,09,fats_oils
grp,10,condiments
grp,11,other
# grp 02 sem linha: só resolve ao nível ssgrp (a fonte não emite '02' sem ssgrp; verificado contra a extração real)
ssgrp,0101,composite_dishes
ssgrp,0102,composite_dishes
ssgrp,0103,composite_dishes
ssgrp,0104,composite_dishes
ssgrp,0105,composite_dishes
ssgrp,0106,composite_dishes
ssgrp,0201,vegetables
ssgrp,0202,vegetables
ssgrp,0203,legumes
ssgrp,0204,fruits
ssgrp,0205,nuts_seeds
ssgrp,0301,cereals
ssgrp,0302,cereals
ssgrp,0303,cereals
ssgrp,0304,cereals
ssgrp,0305,cereals
ssgrp,0401,meat
ssgrp,0402,meat
ssgrp,0403,meat
ssgrp,0404,meat
ssgrp,0405,fish
ssgrp,0406,fish
ssgrp,0407,seafood
ssgrp,0408,seafood
ssgrp,0409,fish
ssgrp,0410,eggs
ssgrp,0411,other
ssgrp,0501,dairy
ssgrp,0502,dairy
ssgrp,0503,dairy
ssgrp,0504,dairy
ssgrp,0601,beverages
ssgrp,0602,beverages
ssgrp,0603,alcoholic_beverages
ssgrp,0701,sugars_sweets
ssgrp,0702,sugars_sweets
ssgrp,0703,sugars_sweets
ssgrp,0704,sugars_sweets
ssgrp,0705,cereals
ssgrp,0706,cereals
ssgrp,0707,cereals
ssgrp,0708,cereals
ssgrp,0709,cereals
ssgrp,0801,sugars_sweets
ssgrp,0802,sugars_sweets
ssgrp,0803,sugars_sweets
ssgrp,0901,fats_oils
ssgrp,0902,fats_oils
ssgrp,0903,fats_oils
ssgrp,0904,fats_oils
ssgrp,0905,fats_oils
ssgrp,1001,condiments
ssgrp,1002,condiments
ssgrp,1003,condiments
ssgrp,1004,condiments
ssgrp,1005,condiments
ssgrp,1006,condiments
ssgrp,1007,vegetables
ssgrp,1008,other
ssgrp,1009,other
ssgrp,1010,other
ssgrp,1101,other
ssgrp,1102,other
ssgrp,1103,other
ssgrp,1104,other
# distinção animal/vegetal onde a fonte mistura (charcutaria e lácteos + 'alternatives végétales')
ssssgrp,040301,meat
ssssgrp,040302,meat
ssssgrp,040303,meat
ssssgrp,040304,meat
ssssgrp,040305,meat
ssssgrp,040306,meat
ssssgrp,040307,meat
ssssgrp,040308,meat
ssssgrp,040309,other
ssssgrp,050201,dairy
ssssgrp,050202,dairy
ssssgrp,050203,dairy
ssssgrp,050204,dairy
ssssgrp,050205,other
ssssgrp,050301,dairy
ssssgrp,050302,dairy
ssssgrp,050303,dairy
ssssgrp,050304,dairy
ssssgrp,050305,dairy
ssssgrp,050306,other
