term,pt,fr,en
# F3 — dicionário alimentar bilingue (pt-PT <-> fr/en) para o bloqueio e sinais
# de candidatura (SPEC §6, F3). term = chave canónica; sinónimos separados por
# '|' dentro de cada língua, sempre token único (o matcher trabalha por token).
# Revisão feita sobre os nomes reais das fontes (INSA/TCA 7.1, CIQUAL 2025).
# Regra: apenas termos com correspondência segura; um token pode pertencer a
# várias famílias (ex.: 'gordo' = full-fat em leite e 'fat' em carne).
water,agua|aguas|água,eau,water
tap,rede publica|rede pública|torneira,robinet,tap
mineral,mineral,minerale|minérale,mineral
sparkling,gaseificada|gasocarbónica|frisante,gazeuse,sparkling
still,plana,plate,still
milk,leite,lait,milk
whole,gordo|inteiro|inteira,entier,whole|full-fat
wholemeal,integral,complet|complete,wholemeal
semi_skimmed,meio gordo,demi-ecrémé|demi-écrémé,semi-skimmed
skimmed,magro|magra,maigre,skimmed
lactose_free,sem lactose,sans lactose,lactose-free
yogurt,iogurte,yaourt,yogurt
greek_yogurt,iogurte grego,yaourt grec,greek yogurt
cheese,queijo,fromage,cheese
cheese_spread,queijo creme,fromage a tartiner|fromage à tartiner,cheese spread
fresh_cheese,queijo fresco,fromage frais,fresh cheese
soft_cheese,atabafado,fromage de chèvre,goat cheese
requeijao,requeijão,fromage frais,requeijao
cream,nata|natas|creme,crème|creme,cream
butter,manteiga,beurre,butter
margarine,margarina,margarine,margarine
margarine_light,minarina,minarine,margarine
vegetable_fat,creme vegetal|creme culinario|creme culinário,matière grasse végétale|matiere grasse vegetale,vegetable fat
oil,oleo|óleo,huile,oil
olive_oil,azeite,huile d olive|huile d'olive,olive oil
lard,banha,saindoux,lard
egg,ovo|ovos,oeuf|oeufs,egg
egg_yolk,gema,jaune,yolk
egg_white,clara,blanc,white
omelette,omelete,omelette,omelette
chicken,frango|galinha,poulet,chicken
chicken_liver,figado de galinha|fígado de galinha,foie de poulet,chicken liver
turkey,peru,dinde,turkey
duck,pato,canard,duck
goose,ganso,oie,goose
quail,codorniz,caille,quail
partridge,perdiz,perdrix,partridge
pigeon,pombo,pigeon,pigeon
rabbit,coelho,lapin,rabbit
venison,veado,cerf,venison
wild_boar,javali,sanglier,wild boar
hare,lebre,lièvre|lievre,hare
beef,vaca|boi,boeuf|bœuf,beef
veal,vitela,veau,veal
lamb,borrego,agneau,lamb
mutton,carneiro,mouton,mutton
kid,cabrito,chevreau,kid
goat,cabra,chèvre|chevre,goat
watercress,agrião|agriao,cresson de fontaine,watercress
celeriac,,céleri-rave|celeri-rave,celeriac
soaked,demolhadas|demolhada|demolhados|demolhado,trempées|trempees,soaked
horse,cavalo,cheval,horse
pork,porco,porc,pork
meat,carne,viande,meat
steak,bife,steak|bavette,steak
loin,lombo,filet|longe,loin
leg,perna,gigot|cuisse,leg
breast,peito,blanc|poitrine,breast
shoulder,pa|pá,épaule|epaule,shoulder
shoulder_neck,chambão|chambao,collier|échine|echine,neck
chop,costeleta,côtelette|cotelette,chop|cutlet
rack,,carré|carre,rack
ribs,entrecosto,travers,spare ribs
belly,toucinho,lard,bacon
bacon,bacon,bacon,bacon
ham,presunto,jambon,ham
cooked_ham,fiambre,jambon blanc,cooked ham
sausage,salsicha,saucisse,sausage
frankfurt,frankfurt,knack,frankfurter
chorizo,chouriço,chorizo,chorizo
blood_sausage,morcela|chouriço de sangue,boudin noir,blood sausage
salami,salame,salami,salami
mortadella,mortadela,mortadelle,mortadella
pate,paté|pasta de figado|pasta de fígado,pâté|pate,pate
liver,figado|fígado,foie,liver
kidney,rim,rognon,kidney
