concept_id,source,source_code,status
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31000,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31001,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31004,automatic
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31009,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31010,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31018,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31020,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31040,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31041,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31042,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31066,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31073,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31080,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31084,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31093,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,ciqual,31120,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,automatic
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_0004V81X5V2DGXWRDDRCF70JXP,insa,508,review
nfx_009D9XRAPBBFHXB9AB78EGYRT0,ciqual,6103,review
nfx_009D9XRAPBBFHXB9AB78EGYRT0,ciqual,6103,review
nfx_009D9XRAPBBFHXB9AB78EGYRT0,ciqual,6103,review
nfx_009D9XRAPBBFHXB9AB78EGYRT0,ciqual,6103,review
nfx_009D9XRAPBBFHXB9AB78EGYRT0,ciqual,6103,review
nfx_009D9XRAPBBFHXB9AB78EGYRT0,ciqual,6103,review
nfx_009D9XRAPBBFHXB9AB78EGYRT0,ciqual,6103,review
nfx_009D9XRAPBBFHXB9AB78EGYRT0,ciqual,6103,review
nfx_009D9XRAPBBFHXB9AB78EGYRT0,ciqual,6103,review
