id,name_en,name_pt,name_fr,name_es,name_de,name_it,name_pt_PT,name_pt_BR
breast,Breast,Peito,Poitrine,Pechuga,Brust,Petto,Peito,Peito
thigh,Thigh,Coxa,Cuisse,Muslo,Schenkel/Keule,Coscia,Coxa,Coxa
fillet,Fillet,Filete,Filet,Filete,Filet,Filetto,Filete,Filé
steak,Steak,Bife,Steak/rumsteck,Filete/steak,Steak,Bistecca,Bife,Bife
loin,Loin,Lombo,Échine/filet,Lomo,Lende,Lombata,Lombo,Lombo
belly,Belly,Barriga,Poitrine/bardière,Panceta,Bauch,Pancetta,Barriga,Barriga
skin,Skin,Pele,Peau,Piel,Haut,Pelle,Pele,Pele
peel,Peel,Casca,Épluchure/peau,Cáscara,Schale,Buccia,Casca,Casca
rind,Rind,Entre-casca,Croûte,Corteza,Rinde,Crosta,Entre-casca,Casca dura
pulp,Pulp,Polpa,Pulpe,Pulpa,Fruchtfleisch,Polpa,Polpa,Polpa
flesh,Flesh,Polpa/carne,Chair,Carne/pulpa,Fleisch/Fruchtfleisch,Polpa/carne,Polpa/carne,Polpa/carne
seed,Seed,Semente,Graines,Semilla,Samen/Kern,Seme,Semente,Semente
pit,Pit,Caroço,Noyau,Hueso/carozo,Stein/Kern,Nocciolo,Caroço,Caroço
kernel,Kernel,Amêndoa/miolo,Amande (noyau),Pepa/granillo,Kern,Mandorla (seme),Amêndoa/miolo,Amêndoa/miolo
leaf,Leaf,Folha,Feuille,Hoja,Blatt,Foglia,Folha,Folha
root,Root,Raiz,Racine,Raíz,Wurzel,Radice,Raiz,Raiz
clove,Clove,Dente/lóbulo,Gousse,Diente,Zehe,Spicchio,Dente/lóbulo,Dente/lóbulo
cap,Cap,Chapéu,Chapeau,Sombrero,Hut,Cappello,Chapéu,Chapéu
stem,Stem,Talo,Tige,Tallo,Stiel,Gambo,Talo,Talo
grain,Grain,Grão,Grain,Grano,Korn,Chicco,Grão,Grão
