id,name_en,name_pt
cereals,Cereals and cereal products,Cereais e derivados
vegetables,Vegetables,Vegetais
fruits,Fruits,Frutas
legumes,Legumes and pulses,Leguminosas e pulses
nuts_seeds,Nuts and seeds,Frutos gordos e sementes
meat,Meat and meat products,Carne e produtos de carne
poultry,Poultry and game,Aves e caça
fish,Fish and fish products,Peixe e derivados
seafood,Seafood,Moluscos e crustáceos
eggs,Eggs and egg products,Ovos e derivados
dairy,Milk and dairy products,Leite e produtos lácteos
fats_oils,Fats and oils,Gorduras e óleos
sugars_sweets,Sugars and confectionery,Açúcares e confeitaria
beverages,Beverages,Bebidas
alcoholic_beverages,Alcoholic beverages,Bebidas alcoólicas
composite_dishes,Composite dishes,Pratos compostos
condiments,Condiments and sauces,Condimentos e molhos
other,Other foods,Outros alimentos
