parent,child
FIBTG,FIBS
FIBTG,FIBINS
SUGAR,FRUS
SUGAR,GLUS
SUGAR,SUCS
SUGAR,LACS
SUGAR,MALS
SUGAR,GALS
FASAT,F4D0
FASAT,F6D0
FASAT,F8D0
FASAT,F10D0
FASAT,F12D0
FASAT,F14D0
FASAT,F15D0
FASAT,F16D0
FASAT,F17D0
FASAT,F18D0
FASAT,F20D0
FASAT,F22D0
FASAT,F24D0
FASAT,F26D0
FAMS,F14D1
FAMS,F16D1
FAMS,F18D1
FAMS,F18D1CN9
FAMS,F18D1CN7
FAMS,F20D1
FAMS,F22D1
FAMS,F24D1
FAPU,F18D2CN6
FAPU,F18D2CNN6
FAPU,F18D2CL
FAPU,F18D3CN3
FAPU,F18D3N3
FAPU,F18D3CN6
FAPU,F18D4N3
FAPU,F20D2
FAPU,F20D3N3
FAPU,F20D4N6
FAPU,F20D5N3
FAPU,F22D5N3
FAPU,F22D6N3
FAT,FASAT
FAT,FAMS
FAT,FAPU
FAT,FATRN
VITD,CHOCAL
VITD,ERGCAL
VITK,VITK1
VITK,VITK2
FOL,FOLFD
FOL,FOLAC
NIAEQ,NIA
