# Energia (SPEC §5): guardar o método (mappings/ + derivations/), nunca fundir
# Proximados
# Hidratos discriminados
# Lípidos totais
# Ácidos gordos individuais (INFOODS FnnDnnNn)
# Minerais
# Vitaminas lipossolúveis
# Vitaminas hidrossolúveis
# Aminoácidos (20 + pares e extra)
# Outros
tagname,group,name_en,unit
ENERC_KCAL,energy,Energy (kcal; method registered per source),kcal
ENERC_KJ,energy,Energy (kJ; method registered per source),kj
WATER,proximates,Water (by difference is not allowed),g
PROCNT,proximates,Protein (total nitrogen × factor; factor registered),g
NT,proximates,Total nitrogen,g
FAT,proximates,Total lipid (fat),g
FATCE,proximates,Total lipid (fat) by difference,g
CHOAVL,proximates,Carbohydrate available (by difference),g
CHOAVLDF,proximates,Carbohydrate available with dietary fibre (by difference),g
CHOCDF,proximates,Carbohydrate total (by difference with dietary fibre),g
FIBTG,proximates,Total dietary fibre,g
FIBC,proximates,Crude fibre,g
ASH,proximates,Ash,g
ALC,proximates,Alcohol (ethanol),g
SUGAR,carbohydrates,Total sugars (sum of individual sugars),g
FRUS,carbohydrates,Fructose,g
GLUS,carbohydrates,Glucose (dextrose),g
SUCS,carbohydrates,Sucrose,g
LACS,carbohydrates,Lactose,g
OLSAC,carbohydrates,Oligosaccharides (total),g
MALS,carbohydrates,Maltose,g
GALS,carbohydrates,Galactose,g
STARCH,carbohydrates,Starch,g
POLYL,carbohydrates,Total polyols (sugar alcohols),g
FIBS,carbohydrates,Dietary fibre soluble,g
FIBINS,carbohydrates,Dietary fibre insoluble,g
FASAT,lipids,Fatty acids total saturated,g
FAMS,lipids,Fatty acids total monounsaturated,g
FAPU,lipids,Fatty acids total polyunsaturated,g
FATRN,lipids,Fatty acids total trans,mg
CHOLE,lipids,Cholesterol,mg
F4D0,lipids,Fatty acid 4:0 (butyric),g
F6D0,lipids,Fatty acid 6:0 (caproic),g
F8D0,lipids,Fatty acid 8:0 (caprylic),g
F10D0,lipids,Fatty acid 10:0 (capric),g
F12D0,lipids,Fatty acid 12:0 (lauric),g
F14D0,lipids,Fatty acid 14:0 (myristic),g
F14D1,lipids,Fatty acid 14:1 (myristoleic),g
F15D0,lipids,Fatty acid 15:0 (pentadecanoic),g
F16D0,lipids,Fatty acid 16:0 (palmitic),g
F16D1,lipids,Fatty acid 16:1 (palmitoleic),g
F17D0,lipids,Fatty acid 17:0 (margaric),g
F18D0,lipids,Fatty acid 18:0 (stearic),g
F18D1,lipids,Fatty acid 18:1 total,g
F18D1CN9,lipids,Fatty acid 18:1 c9 (oleic),g
F18D1CN7,lipids,Fatty acid 18:1 c11 (vaccenic),g
F18D2CN6,lipids,"Fatty acid 18:2 c9,c12 (linoleic)",g
F18D2CNN6,lipids,Fatty acid 18:2 n-6 conjugated,g
F18D2CL,lipids,Fatty acid 18:2 conjugated linoleic (CLA),g
F18D3CN3,lipids,"Fatty acid 18:3 c9,c12,c15 (alpha-linolenic)",g
F18D3N3,lipids,Fatty acid 18:3 n-3 (alpha-linolenic),g
F18D3CN6,lipids,"Fatty acid 18:3 c6,c9,c12 (gamma-linolenic)",g
F18D4N3,lipids,Fatty acid 18:4 n-3 (stearidonic),g
F20D0,lipids,Fatty acid 20:0 (arachidic),g
F20D1,lipids,Fatty acid 20:1 (gadoleic),g
F20D2,lipids,Fatty acid 20:2 n-6,g
F20D3N3,lipids,Fatty acid 20:3 n-3,g
